Time,Velocity
1.002159999999999940e+00,2.168316800511572140e+01
1.002180000000000071e+00,2.168279767329449825e+01
1.002199999999999980e+00,2.168242734147327511e+01
1.002220000000000111e+00,2.168205700965204841e+01
1.002240000000000020e+00,2.168168667783082526e+01
1.002259999999999929e+00,2.168131634600960211e+01
1.002280000000000060e+00,2.168094601418837897e+01
1.002299999999999969e+00,2.168057568236715582e+01
1.002320000000000100e+00,2.168020535054592912e+01
1.002340000000000009e+00,2.167983501872470598e+01
1.002359999999999918e+00,2.167946468690348283e+01
1.002380000000000049e+00,2.167909435508225968e+01
1.002399999999999958e+00,2.167872402326103654e+01
1.002420000000000089e+00,2.167835369143980984e+01
1.002439999999999998e+00,2.167798335961858669e+01
1.002459999999999907e+00,2.167761302779736710e+01
1.002480000000000038e+00,2.167724269597614040e+01
1.002499999999999947e+00,2.167687236415491725e+01
1.002520000000000078e+00,2.167650203233369055e+01
1.002539999999999987e+00,2.167613170051246740e+01
1.002559999999999896e+00,2.167576136869124781e+01
1.002580000000000027e+00,2.167539103687002111e+01
1.002599999999999936e+00,2.167502070504879796e+01
1.002620000000000067e+00,2.167465037322757127e+01
1.002639999999999976e+00,2.167428004140634812e+01
