Time,Velocity
1.001160000000000050e+00,2.741070105761946962e+01
1.001179999999999959e+00,2.741061434590465851e+01
1.001200000000000090e+00,2.741052763418984739e+01
1.001219999999999999e+00,2.741044092247503272e+01
1.001239999999999908e+00,2.741035421076022160e+01
1.001260000000000039e+00,2.741026749904540694e+01
1.001279999999999948e+00,2.741018078733059582e+01
1.001300000000000079e+00,2.741009407561578470e+01
1.001319999999999988e+00,2.741000736390097003e+01
1.001339999999999897e+00,2.740992065218615892e+01
1.001360000000000028e+00,2.740983394047134425e+01
1.001379999999999937e+00,2.740974722875653313e+01
1.001400000000000068e+00,2.740966051704172202e+01
1.001419999999999977e+00,2.740957380532690735e+01
1.001440000000000108e+00,2.740948709361209623e+01
1.001460000000000017e+00,2.740940038189728156e+01
1.001479999999999926e+00,2.740931367018247045e+01
1.001500000000000057e+00,2.740922695846765933e+01
1.001519999999999966e+00,2.740914024675284466e+01
1.001540000000000097e+00,2.740905353503803354e+01
1.001560000000000006e+00,2.740896682332321888e+01
1.001579999999999915e+00,2.740888011160840776e+01
1.001600000000000046e+00,2.740879339989359309e+01
1.001619999999999955e+00,2.740870668817878197e+01
1.001640000000000086e+00,2.740861997646397086e+01
1.001659999999999995e+00,2.740853326474915619e+01
1.001679999999999904e+00,2.740844655303434507e+01
1.001700000000000035e+00,2.740835984131953040e+01
1.001719999999999944e+00,2.740827312960471929e+01
1.001740000000000075e+00,2.740818641788990817e+01
1.001759999999999984e+00,2.740809970617509350e+01
1.001779999999999893e+00,2.740801299446028239e+01
1.001800000000000024e+00,2.740792628274546772e+01
1.001819999999999933e+00,2.740783957103065660e+01
1.001840000000000064e+00,2.740775285931584548e+01
1.001859999999999973e+00,2.740766614760103081e+01
1.001880000000000104e+00,2.740757943588621970e+01
1.001900000000000013e+00,2.740749272417140503e+01
1.001919999999999922e+00,2.740740601245659391e+01
1.001940000000000053e+00,2.740731930074178280e+01
1.001959999999999962e+00,2.740723258902696813e+01
1.001980000000000093e+00,2.740714587731215701e+01
1.002000000000000002e+00,2.740705916559734234e+01
1.002019999999999911e+00,2.740697245388253123e+01
1.002040000000000042e+00,2.740688574216772011e+01
1.002059999999999951e+00,2.740679903045290544e+01
1.002080000000000082e+00,2.740671231873809432e+01
1.002099999999999991e+00,2.740662560702327966e+01
1.002119999999999900e+00,2.740653889530846854e+01
1.002140000000000031e+00,2.740645218359365742e+01
1.002159999999999940e+00,2.740636547187884275e+01
1.002180000000000071e+00,2.740627876016403164e+01
1.002199999999999980e+00,2.740619204844921697e+01
1.002220000000000111e+00,2.740610533673440585e+01
1.002240000000000020e+00,2.740601862501959474e+01
1.002259999999999929e+00,2.740593191330478007e+01
1.002280000000000060e+00,2.740584520158996895e+01
1.002299999999999969e+00,2.740575848987515428e+01
1.002320000000000100e+00,2.740567177816034317e+01
1.002340000000000009e+00,2.740558506644553205e+01
1.002359999999999918e+00,2.740549835473071738e+01
1.002380000000000049e+00,2.740541164301590626e+01
1.002399999999999958e+00,2.740532493130109160e+01
1.002420000000000089e+00,2.740523821958628048e+01
1.002439999999999998e+00,2.740515150787146936e+01
1.002459999999999907e+00,2.740506479615665469e+01
1.002480000000000038e+00,2.740497808444184358e+01
1.002499999999999947e+00,2.740489137272702891e+01
1.002520000000000078e+00,2.740480466101221779e+01
1.002539999999999987e+00,2.740471794929740668e+01
1.002559999999999896e+00,2.740463123758259201e+01
1.002580000000000027e+00,2.740454452586778089e+01
1.002599999999999936e+00,2.740445781415296622e+01
1.002620000000000067e+00,2.740437110243815511e+01
1.002639999999999976e+00,2.740428439072334044e+01
